!Women Art Revolution (2010) |   3 stars, 1hr 22m
#1 Cheerleader Camp (2010) |   3 stars, 1hr 35m
$5 a Day (2008) |   3.4 stars, 1hr 37m
21 Up (1977) |   3.9 stars, 1hr 39m
21 Up South Africa: Mandela's Children (2006) |   3.5 stars, 1hr 14m
24 (2001-2010) |   3.9 stars, 8 Seasons
2501 Migrants: A Journey (2009) |   3.1 stars, 54m
26 Years: The Dewey Bozella Story (2012) |   3.7 stars, 49m
28 Up (1985) |   3.9 stars, 2hr 53m
2nd Take (2011) |   , 1hr 42m
3 (2010) |   3 stars, 1hr 59m
3:15 (1986) |   2.9 stars, 1hr 25m
3 Magic Words (2010) |   3.3 stars, 1hr 10m
3 Musketeers (2011) |   2.9 stars, 1hr 27m
3 Steps to Heaven (1995) |   2.2 stars, 1hr 31m
3 Women (1977) |   3.3 stars, 2hr 3m
3-Day Weekend (2008) |   2.9 stars, 1hr 23m
30,000 Leagues Under the Sea (2007) |   2.6 stars, 1hr 25m
30 Days (2005-2008) |   3.7 stars, 3 Seasons
30 for 30: Catching Hell (2011) |   4 stars, 1hr 48m
30 for 30: Charismatic (2011) |   3 stars, 51m
30 for 30: Fernando Nation (2010) |   3.8 stars, 53m
30 for 30: Four Days in October (2010) |   4.1 stars, 52m
30 for 30: Guru of Go (2010) |   3.8 stars, 53m
30 for 30: Into the Wind (2010) |   3.8 stars, 56m
30 for 30: Jordan Rides the Bus (2010) |   3.8 stars, 54m
30 for 30: June 17th, 1994 (2010) |   3.6 stars, 52m
30 for 30: Kings Ransom (2009) |   3.6 stars, 52m
30 for 30: Little Big Men (2010) |   3.4 stars, 52m
30 for 30: Marion Jones: Press Pause (2010) |   3.5 stars, 53m
30 for 30: Muhammad and Larry (2009) |   3.6 stars, 53m
30 for 30: No Crossover: The Trial of Allen Iverson (2010) |   3.7 stars, 1hr 22m
30 for 30: Once Brothers (2010) |   4.1 stars, 1hr 22m
30 for 30: Pony Excess (2010) |   4 stars, 1hr 46m
30 for 30: Ren�e (2011) |   2.9 stars, 1hr 18m
30 for 30: Roll Tide / War Eagle (2011) |   3.9 stars, 53m
30 for 30: Run Ricky Run (2010) |   3.9 stars, 53m
30 for 30: Silly Little Game (2010) |   3.4 stars, 52m
30 for 30: Small Potatoes: Who Killed the USFL? (2009) |   3.7 stars, 53m
30 for 30: The 16th Man (2010) |   3.8 stars, 53m
30 for 30: The Band That Wouldn't Die (2009) |   3.4 stars, 54m
30 for 30: The Best That Never Was (2010) |   4 stars, 1hr 41m
30 for 30: The Birth of Big Air (2010) |   4 stars, 54m
30 for 30: The Dotted Line (2011) |   3.6 stars, 56m
30 for 30: The House of Steinbrenner (2010) |   3.4 stars, 53m
30 for 30: The Real Rocky (2011) |   3.8 stars, 57m
30 for 30: The Two Escobars (2010) |   4.2 stars, 1hr 45m
30 for 30: The U (2010) |   4.1 stars, 1hr 43m
30 for 30: Tim Richmond: To The Limit (2010) |   3.6 stars, 53m
30 for 30: Unguarded (2011) |   4.2 stars, 1hr 20m
30 for 30: Unmatched (2010) |   3.2 stars, 53m
30 for 30: Winning Time: Reggie Miller vs. The New York Knicks (2010) |   4.2 stars, 1hr 10m
30 for 30: Without Bias (2009) |   3.9 stars, 52m
30 Rock (2006-2012) |   3.9 stars, 6 Seasons
32 Short Films About Glenn Gould (1993) |   3.6 stars, 1hr 33m
35 and Ticking (2011) |   3.9 stars, 1hr 48m
35 Up (1991) |   4 stars, 1hr 55m
3D Dive (2011) |   , 3 Episodes
3D Safari (2011) |   3 stars, 13 Episodes
4 (2005) |   2.7 stars, 2hr 5m
4:20 Hour Stand-Up (2009) |   3.3 stars, 53m
4 Life (2007) |   3.4 stars, 1hr 19m
4 Months, 3 Weeks and 2 Days (2007) |   3.4 stars, 1hr 53m
4.3.2.1 (2010) |   2.8 stars, 1hr 56m
40 Minutes of Hell (2012) |   3.7 stars, 48m
400 Years of the Telescope (2009) |   3.9 stars, 56m
42 Up (1998) |   3.8 stars, 2hr 13m
44 Inch Chest (2009) |   2.9 stars, 1hr 34m
48 Angels (2006) |   2.9 stars, 1hr 31m
49 Days (2006) |   2.8 stars, 1hr 31m
49 Up (2005) |   3.7 stars, 2hr 15m
4th and Goal (2010) |   3.6 stars, 1hr 31m
5, 6, 7, 8 (2009) |   2.4 stars, 1hr 36m
5 Sides of a Coin (2003) |   3.2 stars, 1hr 9m
5 Star Day (2010) |   3.2 stars, 1hr 37m
50 Dead Men Walking (2008) |   3.4 stars, 1hr 57m
500 Years Later (2005) |   3.7 stars, 1hr 48m
54 (1998) |   3.2 stars, 1hr 32m
58: The Film (2011) |   , 1hr 12m
588 Rue Paradis (1992) |   3.7 stars, 2hr 5m
5ive Girls (2006) |   3.1 stars, 1hr 36m
60 Spins Around the Sun (2003) |   3.1 stars, 58m
633 Squadron (1964) |   3.5 stars, 1hr 34m
666: The Beast (2007) |   2.7 stars, 1hr 28m
666: The Child (2006) |   2.9 stars, 1hr 19m
666 Revealed (2006) |   2.6 stars, 1hr
6Teen (2004-2005) |   4.1 stars, 5 Seasons
6Teen: Dude of the Living Dead (2005) |   3.8 stars, 45m
6teen: Snow Job (2004) |   4 stars, 45m
7 Days in September (2004) |   3.7 stars, 1hr 34m
7 Dwarves (2004) |   3 stars, 1hr 30m
7 Khoon Maaf (2011) |   3.1 stars, 2hr 28m
8:46 (2011) |   3.3 stars, 55m
8 1/2 (1963) |   3.8 stars, 2hr 18m
8 Seconds (1994) |   3.8 stars, 1hr 44m
80 Meters Below the Summit (1997) |   2.8 stars, 54m
80 Minutes (2008) |   2.8 stars, 1hr 32m
8000 Miles 2: Girls Rapper (2010) |   2 stars, 1hr 37m
8213: Gacy House (2010) |   2.8 stars, 1hr 25m
8MM (1999) |   3.4 stars, 2hr 3m
9 1/2 Ninjas (1991) |   1.9 stars, 1hr 27m
9 1/2 Weeks (1986) |   3.1 stars, 1hr 56m
90210 (2008-2011) |   3.8 stars, 4 Seasons
911: In Plane Site (2007) |   3.6 stars, 1hr 12m
95 Miles to Go (2004) |   2.7 stars, 1hr 17m
976-Evil 2 (1992) |   2.8 stars, 1hr 30m
99 River Street (1953) |   3.4 stars, 1hr 23m
9th Company (2005) |   3.7 stars, 2hr 20m
A/k/a Tommy Chong (2006) |   3.9 stars, 1hr 23m
A Beautiful Life (2011) |   3.8 stars, 2hr 2m
A Better Tomorrow (2010) |   3.6 stars, 2hr 3m
A Bigger Splash (1974) |   2.4 stars, 1hr 44m
A Borrowed Life (2011) |   3.5 stars, 1hr 30m
A Boy and His Dog (1975) |   3.1 stars, 1hr 30m
A Bronx Tale (1993) |   4 stars, 2hr 1m
A Brooklyn State of Mind (1998) |   3.3 stars, 1hr 29m
A Bullet for Joey (1955) |   3.2 stars, 1hr 27m
A Bullet for Pretty Boy (1970) |   3.1 stars, 1hr 28m
A Call Girl (2009) |   2.7 stars, 1hr 31m
A Canterbury Tale (1949) |   3.2 stars, 2hr 4m
A Cemetery Special (2005) |   3.4 stars, 56m
A Child Called Jesus (1987) |   3.7 stars, 2 Episodes
A Child Is Waiting (1963) |   3.4 stars, 1hr 44m
A Chorus of Disapproval (1989) |   , 1hr 35m
A Christmas Memory (1997) |   3.7 stars, 1hr 32m
A Cold Wind in August (1961) |   2.1 stars, 1hr 19m
A Complete History of My Sexual Failures (2008) |   3.1 stars, 1hr 33m
A Crude Awakening: The Oil Crash (2006) |   3.7 stars, 1hr 22m
A Cry for Love (1980) |   2.7 stars, 1hr 38m
A Dance to the Music of Time (1997) |   3.3 stars, 4 Episodes
A Darker Reality (2008) |   3 stars, 1hr 27m
A Dead Calling (2006) |   2.9 stars, 1hr 30m
A Demon in My View (1991) |   2.4 stars, 1hr 52m
A Different Loyalty (2004) |   3 stars, 1hr 44m
A Dinner of Herbs (2000) |   3.7 stars, 6 Episodes
A Dirty Shame (2004) |   2.7 stars, 1hr 28m
A Doll's House (1973) |   3.2 stars, 1hr 35m
A Farewell to Arms (1932) |   3.2 stars, 1hr 29m
A Father's Choice (2000) |   4 stars, 1hr 28m
A Feast at Midnight (1994) |   3.5 stars, 1hr 46m
A Film Unfinished (2010) |   3.6 stars, 1hr 31m
A Fish Called Wanda (1988) |   3.7 stars, 1hr 47m
A Fork in the Road (2009) |   3.4 stars, 1hr 44m
A French Gigolo (2008) |   3.1 stars, 1hr 44m
A Game of Death (1945) |   2.9 stars, 1hr 12m
A Get2Gether (2005) |   3.2 stars, 1hr 38m
A Gifted Man (2012) |   3.7 stars, 1 Season
A Girl Named Tamiko (1962) |   2.8 stars, 1hr 50m
A Golden Christmas (2010) |   3.8 stars, 1hr 29m
A Golden Christmas 2: The Second Tail (2011) |   3.8 stars, 1hr 27m
A Good Day to Be Black & Sexy (2007) |   2.5 stars, 1hr 31m
A Good Old Fashioned Orgy (2011) |   3.4 stars, 1hr 35m
A Good Woman (2004) |   3.4 stars, 1hr 33m
A Great Wall (1986) |   3 stars, 1hr 41m
A Greater Yes: The Story of Amy Newhouse (2009) |   4.1 stars, 1hr 29m
A Green Journey (1990) |   3.6 stars, 1hr 35m
A Haunting in Salem (2011) |   3 stars, 1hr 25m
A Heavenly Vintage (2009) |   3 stars, 2hr 6m
A Home at the End of the World (2004) |   3.3 stars, 1hr 36m
A Home of Our Own (1993) |   3.7 stars, 1hr 44m
A Horrible Way to Die (2010) |   2.8 stars, 1hr 27m
A Jihad for Love (2007) |   3.2 stars, 1hr 20m
A Kiss Before Dying (1956) |   3.1 stars, 1hr 34m
A Knight's Tale (2001) |   3.8 stars, 2hr 12m
A League of Their Own (1992) |   3.7 stars, 2hr 7m
A Life Among Whales (2005) |   3.9 stars, 56m
A Life Apart: Hasidism in America (1997) |   3.5 stars, 1hr 35m
A Little Bit of Heaven (2011) |   3.9 stars, 1hr 46m
A Little Help (2010) |   3 stars, 1hr 48m
A Little Pond (2009) |   2.9 stars, 1hr 29m
A Little Princess (1995) |   4 stars, 1hr 37m
A Love Affair: The Eleanor and Lou Gehrig Story (1978) |   3.5 stars, 1hr 37m
A Lure (2010) |   3.1 stars, 1hr 32m
A Man Called Sarge (1990) |   2.8 stars, 1hr 28m
A Man in Love (1987) |   2.5 stars, 1hr 51m
A Man Named Pearl (2006) |   3.9 stars, 1hr 17m
A Man of Passion (1989) |   2.6 stars, 1hr 35m
A Marine Story (2010) |   3.5 stars, 1hr 35m
A Matador's Mistress (2008) |   3.2 stars, 1hr 33m
A Matter of Sex (1984) |   3.4 stars, 1hr 36m
A Matter of Taste: Serving Up Paul Liebrandt (2010) |   3.6 stars, 1hr 8m
A Miami Tail (2003) |   3.1 stars, 1hr 23m
A Midsummer Night's Dream (1996) |   3 stars, 1hr 43m
A Midsummer Night's Dream (1968) |   3.1 stars, 1hr 59m
A Mighty Heart (2007) |   3.3 stars, 1hr 47m
A Mile in His Shoes (2011) |   4 stars, 1hr 29m
A Model for Matisse (2005) |   3.7 stars, 1hr 6m
A Moment to Remember (2004) |   4.1 stars, 2hr 24m
A Month by the Lake (1995) |   3.2 stars, 1hr 31m
A Mother's Love (2011) |   3.7 stars, 1hr 44m
A Murder of Crows (1999) |   3.5 stars, 1hr 41m
A New Life (1988) |   3.2 stars, 1hr 43m
A New York Thing (2009) |   2.4 stars, 1hr 25m
A Night at the Roxbury (1998) |   3.4 stars, 1hr 21m
A Night in Casablanca (1946) |   3.7 stars, 1hr 24m
A NORML Life (2011) |   3.9 stars, 59m
A Novel Romance (2011) |   , 1hr 31m
A Panther in Africa: POV (2004) |   3.5 stars, 1hr 10m
A Paralyzing Fear: The Story of Polio in America (1998) |   3.8 stars, 1hr 29m
A Peck on the Cheek (2002) |   3.8 stars, 2hr 16m
A Perfect Candidate (1996) |   3.3 stars, 1hr 45m
A Perfect Day (2006) |   3.3 stars, 1hr 30m
A Place Called Home (2004) |   3.8 stars, 1hr 28m
A Place of One's Own (1945) |   3.3 stars, 1hr 32m
A Place Out of Time: The Bordentown School (2010) |   3.5 stars, 56m
A Program About Unusual Buildings & Other Roadside Stuff (2004) |   3.4 stars, 56m
A Rage to Live (1965) |   3.2 stars, 1hr 41m
A Red Bear (2004) |   3.3 stars, 1hr 31m
A Ripple of Hope (2010) |   3.9 stars, 54m
A River of Waste: The Hazardous Truth About Factory Farms (2009) |   3.5 stars, 1hr 31m
A Room for Romeo Brass (1999) |   , 1hr 30m
A Room with a View (1986) |   3.5 stars, 1hr 56m
A Screaming Man (2010) |   2.9 stars, 1hr 31m
A Second Knock at the Door (2012) |   , 1hr 31m
A Secret (2007) |   3.5 stars, 1hr 42m
A Secret Affair (1999) |   3.5 stars, 1hr 28m
A Shine of Rainbows (2009) |   3.8 stars, 1hr 41m
A Short Stay in Switzerland (2009) |   , 1hr 29m
A Shot in the Dark (1964) |   3.7 stars, 1hr 42m
A Simple Curve (2005) |   3.2 stars, 1hr 31m
A Siren in the Dark (2008) |   2.3 stars, 1hr 19m
A Small Act (2009) |   3.5 stars, 1hr 27m
A Small Circle of Friends (1980) |   2.8 stars, 1hr 52m
A Snowmobile for George (2008) |   , 1hr 34m
A Song for Martin (2001) |   3.6 stars, 1hr 53m
A State of Mind (2004) |   3.8 stars, 1hr 30m
A Stoning in Fulham County (1988) |   3.8 stars, 1hr 34m
A Story of David (1960) |   3.6 stars, 1hr 39m
A Tale of Springtime (1990) |   2.9 stars, 1hr 47m
A Tale of Two Sisters (2004) |   3.5 stars, 1hr 49m
A Talent for Loving (1969) |   2.7 stars, 1hr 41m
A Technicolor Dream (2008) |   3.2 stars, 1hr 30m
A Thousand Years of Good Prayers (2007) |   3.1 stars, 1hr 23m
A Tickle in the Heart (1997) |   3 stars, 1hr 23m
A Time for Drunken Horses (2000) |   3.5 stars, 1hr 18m
A Touch of Frost (1992-2010) |   3.9 stars, 15 Seasons
A Touch of Greatness (2004) |   3.9 stars, 53m
A Touch of Larceny (1959) |   3.3 stars, 1hr 31m
A Town Called Panic (2009) |   3.5 stars, 1hr 14m
A Town Like Alice (1956) |   3.7 stars, 1hr 56m
A Tragedy at Midnight (1942) |   3.4 stars, 53m
A Tribute to Edith Piaf: Live at Montreux (2004) |   , 1hr 19m
A Turtle's Tale: Sammy's Adventures (2010) |   3.9 stars, 1hr 25m
A Very Barry Christmas (2005) |   3.1 stars, 44m
A Very British Gangster (2007) |   3.1 stars, 1hr 41m
A Very Long Engagement (2004) |   3.6 stars, 2hr 13m
A Walk into the Sea: Danny Williams and the Warhol Factory (2006) |   3.1 stars, 1hr 17m
A Walk to Beautiful (2007) |   4.1 stars, 52m
A Warrior's Heart (2011) |   3.7 stars, 1hr 34m
A Wednesday (2008) |   3.9 stars, 1hr 39m
A Week Alone (2007) |   2.4 stars, 1hr 50m
A Wink and a Smile: The Art of Burlesque (2008) |   3.2 stars, 1hr 29m
A Woman in Berlin (2008) |   3.6 stars, 2hr 6m
A Woman Is a Woman (1961) |   3.5 stars, 1hr 23m
A Woman Possessed (1958) |   3.2 stars, 1hr 7m
A World Without Thieves (2004) |   3.6 stars, 1hr 50m
A Wrinkle in Time (2003) |   3.4 stars, 2hr 8m
A Yank in the R.A.F. (1941) |   3.1 stars, 1hr 37m
A Year of the Quiet Sun (1985) |   3 stars, 1hr 49m
A.K.A. Cassius Clay (2001) |   3.8 stars, 1hr 18m
A.N.T. Farm (2011) |   4.1 stars, 1 Season
Aaah! Zombies!! (2007) |   3 stars, 1hr 31m
Aaahh!!! Real Monsters (1994-1997) |   3.9 stars, 4 Seasons
Aagey Se Right (2009) |   2.8 stars, 1hr 57m
Aaina (1993) |   3.2 stars, 2hr 22m
Aaja Nachle (2007) |   3.6 stars, 2hr 17m
Aaltra (2004) |   2.8 stars, 1hr 29m
Aaron Slick from Punkin Crick (1952) |   2.6 stars, 1hr 35m
Ab-Normal Beauty (2004) |   3 stars, 1hr 37m
Abbott & Costello Meet Frankenstein (1948) |   3.7 stars, 1hr 22m
Abbott & Costello Meet the Mummy (1955) |   3.6 stars, 1hr 19m
Abduction (2009) |   2.2 stars, 1hr 45m
Abduction (2011) |   3.7 stars, 1hr 45m
Abel Raises Cain (2005) |   3.5 stars, 1hr 22m
Abelar: Tales of an Ancient Empire (2010) |   2.3 stars, 1hr 29m
Aberration (1997) |   2.9 stars, 1hr 32m
Abohomaan (2009) |   , 1hr 58m
About Fifty (2011) |   2.9 stars, 1hr 20m
About Mrs. Leslie (1954) |   3.4 stars, 1hr 44m
Abraham Lincoln vs. Zombies (2012) |   2.7 stars, 1hr 36m
Absent (2010) |   3.5 stars, 1hr 29m
Absentia (2011) |   3.2 stars, 1hr 31m
Absinthe (2010) |   3.4 stars, 1hr 9m
Absolute Beginners (1986) |   2.8 stars, 1hr 47m
Absolute Strangers (1991) |   3.5 stars, 1hr 32m
Absolute Wilson (2006) |   3.5 stars, 1hr 44m
Absolute Zero (2005) |   3.2 stars, 1hr 30m
Absurdistan (2008) |   3.3 stars, 1hr 24m
Accident (2009) |   3.2 stars, 1hr 26m
Accidentally on Purpose (2009) |   3.9 stars, 1 Season
Accidents (1988) |   2.5 stars, 1hr 29m
Accidents Happen (2009) |   3.1 stars, 1hr 32m
According to Spencer (2001) |   2.7 stars, 1hr 34m
Accused (2010) |   3.6 stars, 1 Season
Accused Of Murder (1956) |   2.6 stars, 1hr 13m
Ace High (1968) |   3.4 stars, 2hr 2m
Aces High (1976) |   3.4 stars, 1hr 48m
Acolytes (2008) |   2.9 stars, 1hr 31m
Across 110th Street (1972) |   3.4 stars, 1hr 41m
Act of Valor (2012) |   3.9 stars, 1hr 50m
Act of Vengeance (1974) |   2.8 stars, 1hr 30m
Acts of Worship (2001) |   3.1 stars, 1hr 34m
Adam's Apples (2005) |   3.6 stars, 1hr 30m
Adam: His Song Continues (1986) |   3.7 stars, 1hr 35m
Adam and Evalyne (1949) |   3.5 stars, 1hr 32m
Adam Ferrara: Funny As Hell (2009) |   3.6 stars, 1hr 5m
Adam-12 (1968-1974) |   3.7 stars, 7 Seasons
Adaptation. (2002) |   3.4 stars, 1hr 54m
Addicted (2010) |   3.6 stars, 1 Season
Adolf Hitler: My Part in His Downfall (1972) |   2.7 stars, 1hr 42m
Adopt a Sailor (2008) |   3.2 stars, 1hr 24m
Adopted (2009) |   2.7 stars, 1hr 25m
Adrenalin: Fear the Rush (1996) |   2.8 stars, 1hr 16m
Adrift (2009) |   3.4 stars, 1hr 42m
Adult Entertainment: Disrobing an American Idol (2010) |   2.5 stars, 1hr 46m
Adventureland (2008) |   3.3 stars, 1hr 46m
Adventures in Lalaloopsy Land (2012) |   3.3 stars, 1hr 15m
Adventures in Pornoland (2008) |   2.4 stars, 1hr 17m
Adventures of a Teenage Dragonslayer (2010) |   3.1 stars, 1hr 32m
Adventures of Bailey: The Lost Puppy (2010) |   3.7 stars, 1hr 29m
Adventures of Power (2008) |   3.1 stars, 1hr 29m
Adventures of Thunderstorm: Return of Thor (2011) |   1.9 stars, 1hr 25m
Advise & Dissent (2009) |   , 1hr 26m
Aeon Flux (2005) |   3.4 stars, 1hr 32m
Aesop's Theater (2007) |   2.9 stars, 8 Episodes
Affliction (1998) |   3.2 stars, 1hr 54m
Afghan Knights (2007) |   2.8 stars, 1hr 42m
Afghan Star (2009) |   3.5 stars, 1hr 28m
Africa's Lost Eden (2010) |   3.9 stars, 50m
Africa: Texas Style! (1967) |   3.1 stars, 1hr 49m
Africa First: Volume One (2010) |   2.5 stars, 2hr 2m
African American Lives (2008) |   4 stars, 1 Part
Afro Samurai (2007) |   4 stars, 1 Season
Afro Samurai: Resurrection (2009) |   4 stars, 1hr 40m
After Image (2001) |   2.6 stars, 1hr 32m
After Innocence (2005) |   3.7 stars, 1hr 35m
After Midnight (1989) |   2.9 stars, 1hr 32m
After Sex (2000) |   2.4 stars, 1hr 36m
After Stonewall (1999) |   3.7 stars, 1hr 26m
After the Attack (2008) |   3.5 stars, 1 Season
After the Catch (2007) |   4 stars, 1 Season
After the Storm (2000) |   3.1 stars, 1hr 43m
After the Wall: A World United (2011) |   3.8 stars, 55m
After the Wedding (2006) |   3.8 stars, 2hr 4m
Afterlife (2011) |   3.7 stars, 1hr
Aftermath (1990) |   3.5 stars, 1hr 31m
Afterschool (2008) |   2.7 stars, 1hr 46m
Aftershock (2010) |   4.1 stars, 2hr 15m
Aftershock: Beyond the Civil War (2007) |   3.7 stars, 1hr 29m
Afterworld (2007) |   2.8 stars, 1 Season
Against the Current (2009) |   2.9 stars, 1hr 38m
Against the Dark (2009) |   2.7 stars, 1hr 33m
Against the Wall (2006) |   3.3 stars, 1hr 24m
Agata and the Storm (2004) |   3.2 stars, 2hr
Agatha Christie's Endless Night (1972) |   2.9 stars, 1hr 35m
Agatha Christie's Evil Under the Sun (1982) |   3.7 stars, 1hr 56m
Agatha Christie's Poirot (1989-1995) |   4.2 stars, 6 Series
Agatha Christie's Seven Dials Mystery (1981) |   3.3 stars, 2hr 11m
Agatha Christie's The Mirror Crack'd (1980) |   3.5 stars, 1hr 45m
Agatha Christie's Tommy & Tuppence: Partners in Crime (1983) |   3.6 stars, 1 Series
Age of Heroes (2011) |   3.1 stars, 1hr 33m
Agent Cody Banks (2003) |   3.2 stars, 1hr 42m
Agnes and His Brothers (2004) |   2.8 stars, 1hr 51m
Agnes Browne (1999) |   3.5 stars, 1hr 32m
Ah! My Goddess (2005-2006) |   3.8 stars, 2 Seasons
Aileen: Life and Death of a Serial Killer (2003) |   3.5 stars, 1hr 29m
Aileen Wuornos: The Selling of a Serial Killer (1992) |   3.5 stars, 1hr 23m
Aimee and Jaguar (1998) |   3.5 stars, 2hr 1m
Air Collision (2012) |   3.1 stars, 1hr 32m
Air Gear (2006) |   4.1 stars, 26 Episodes
Air Strike (1955) |   3 stars, 1hr 3m
Airline Disaster (2010) |   2.9 stars, 1hr 29m
Airwolf (1984-1987) |   3.6 stars, 4 Seasons
Aisha (2010) |   3.3 stars, 2hr 6m
Aisha Tyler Is Lit: Live at the Fillmore (2008) |   3.4 stars, 1hr 24m
Ajami (2009) |   3.4 stars, 2hr 5m
Alabama Love Story (2004) |   3.2 stars, 1hr 35m
Alabama Moon (2009) |   3.8 stars, 1hr 39m
Aladdin: Magic Reader Classics (2011) |   2 stars, 1hr 21m
Alakazam the Great (1960) |   2.6 stars, 1hr 24m
Alamar (2009) |   3.5 stars, 1hr 13m
Alarm (2008) |   2.9 stars, 1hr 44m
Alaska Seas (1954) |   2.9 stars, 1hr 17m
Albatross (2011) |   3.3 stars, 1hr 30m
Albert Fish (2007) |   3 stars, 1hr 26m
Albert Nobbs (2011) |   3.4 stars, 1hr 53m
Albino Alligator (1996) |   3 stars, 1hr 34m
Alex Grey: The Chapel of Sacred Mirrors: CoSM: the Movie (2006) |   3.7 stars, 1hr 17m
Alex Reymundo: Red-Nexican (2009) |   3.6 stars, 1hr
Alexander Graham Bell: Voice of Invention (1996) |   3.8 stars, 46m
Alexander the Great (1956) |   3.3 stars, 2hr 15m
Alexander the Last (2009) |   2.5 stars, 1hr 12m
Alexandra's Project (2003) |   3 stars, 1hr 38m
Alfie (2004) |   2.9 stars, 1hr 45m
Alfred Hitchcock Presents (1955-1957) |   3.9 stars, 3 Seasons
Ali G Indahouse (2002) |   3.2 stars, 1hr 23m
Alias (2001-2005) |   4 stars, 5 Seasons
Alias Billy the Kid (1946) |   3 stars, 53m
Alias Jesse James (1959) |   3.5 stars, 1hr 32m
Alice (1990) |   3.2 stars, 1hr 46m
Alice (2009) |   4.1 stars, 2 Episodes
Alice (1988) |   3 stars, 1hr 26m
Alice's Adventures in Wonderland: Magic Reader Classics (2011) |   2.1 stars, 1hr 10m
Alice's Restaurant (1969) |   3.2 stars, 1hr 50m
Alice Cooper: Brutally Live (2000) |   3.4 stars, 1hr 36m
Alice Cooper: Live at Montreux 2005 (2005) |   3.5 stars, 1hr 33m
Alice in Wonderland (1999) |   3.3 stars, 2hr 13m
Alice Through the Looking Glass (1998) |   3 stars, 1hr 23m
